# This file contains a sequence of unicode symbols that can be displayed
# with Powerline Font. A unicode character could be inserted by pressing
# ctrl+shift u+(unicode code)+(space/enter/tab)

▩     0x25A9
▪     0x25AA
▫     0x25AB
▬     0x25AC
▭     0x25AD
▮     0x25AE
▯     0x25AF
▰     0x25B0
▱     0x25B1
▲     0x25B2
△     0x25B3
▴     0x25B4
▵     0x25B5
▶     0x25B6
▷     0x25B7
▸     0x25B8
▹     0x25B9
►     0x25BA
▻     0x25BB
▼     0x25BC
▽     0x25BD
▾     0x25BE
▿     0x25BF
◀     0x25C0
◁     0x25C1
◂     0x25C2
◃     0x25C3
◄     0x25C4
◅     0x25C5
◆     0x25C6
◇     0x25C7
◈     0x25C8
◉     0x25C9
◊     0x25CA
○     0x25CB
◌     0x25CC
◍     0x25CD
◎     0x25CE
●     0x25CF
◐     0x25D0
◑     0x25D1
◒     0x25D2
◓     0x25D3
◔     0x25D4
◕     0x25D5
◖     0x25D6
◗     0x25D7
◘     0x25D8
◙     0x25D9
◚     0x25DA
◛     0x25DB
◜     0x25DC
◝     0x25DD
◞     0x25DE
◟     0x25DF
◠     0x25E0
◡     0x25E1
◢     0x25E2
◣     0x25E3
◤     0x25E4
◥     0x25E5
◦     0x25E6
◧     0x25E7
◨     0x25E8
◩     0x25E9
◪     0x25EA
◫     0x25EB
◬     0x25EC
◭     0x25ED
◮     0x25EE
◯     0x25EF
◰     0x25F0
◱     0x25F1
◲     0x25F2
◳     0x25F3
◴     0x25F4
◵     0x25F5
◶     0x25F6
◷     0x25F7
◸     0x25F8
◹     0x25F9
◺     0x25FA
◻     0x25FB
◼     0x25FC
◽     0x25FD
◾     0x25FE
◿     0x25FF
☀     0x2600
☁     0x2601
☂     0x2602
☃     0x2603
☄     0x2604
★     0x2605
☆     0x2606
☇     0x2607
☈     0x2608
☉     0x2609
☊     0x260A
☋     0x260B
☌     0x260C
☍     0x260D
☎     0x260E
☏     0x260F
☐     0x2610
☑     0x2611
☒     0x2612
☓     0x2613
☔     0x2614
☕     0x2615
☖     0x2616
☗     0x2617
☘     0x2618
☙     0x2619
☚     0x261A
☛     0x261B
☜     0x261C
☝     0x261D
☞     0x261E
☟     0x261F
☠     0x2620
☡     0x2621
☢     0x2622
☣     0x2623
☤     0x2624
☥     0x2625
☦     0x2626
☧     0x2627
☨     0x2628
☩     0x2629
☪     0x262A
☫     0x262B
☬     0x262C
☭     0x262D
☮     0x262E
☯     0x262F
☰     0x2630
☱     0x2631
☲     0x2632
☳     0x2633
☴     0x2634
☵     0x2635
☶     0x2636
☷     0x2637
☸     0x2638
☹     0x2639
☺     0x263A
☻     0x263B
☼     0x263C
☽     0x263D
☾     0x263E
☿     0x263F
♀     0x2640
♁     0x2641
♂     0x2642
♃     0x2643
♄     0x2644
♅     0x2645
♆     0x2646
♇     0x2647
♈     0x2648
♉     0x2649
♊     0x264A
♋     0x264B
♌     0x264C
♍     0x264D
♎     0x264E
♏     0x264F
♐     0x2650
♑     0x2651
♒     0x2652
♓     0x2653
♔     0x2654
♕     0x2655
